"id"	"station"	"year"	"month"	"max temp"	"min temp"	"air frost days"	"rain"	"sun hours"	
1	1	1941	1	"---"	"---"	"---"	74.7	"---"	
2	1	1941	2	"---"	"---"	"---"	69.1	"---"	
3	1	1941	3	"---"	"---"	"---"	76.2	"---"	
4	1	1941	4	"---"	"---"	"---"	33.7	"---"	
5	1	1941	5	"---"	"---"	"---"	51.3	"---"	
6	1	1941	6	"---"	"---"	"---"	25.7	"---"	
7	1	1941	7	"---"	"---"	"---"	53.9	"---"	
8	1	1941	8	"---"	"---"	"---"	91.8	"---"	
9	1	1941	9	"---"	"---"	"---"	25.5	"---"	
10	1	1941	10	"---"	"---"	"---"	106.2	"---"	
11	1	1941	11	"---"	"---"	"---"	92.3	"---"	
12	1	1941	12	"---"	"---"	"---"	86.5	"---"	
13	1	1942	1	5.8	2.1	"---"	114	58	
14	1	1942	2	4.2	-0.6	"---"	13.8	80.3	
15	1	1942	3	9.7	3.7	"---"	58	117.9	
16	1	1942	4	13.1	5.3	"---"	42.5	200.1	
17	1	1942	5	14	6.9	"---"	101.1	215.1	
18	1	1942	6	16.2	9.9	"---"	2.3	269.3	
19	1	1942	7	17.4	11.3	"---"	70.2	185	
20	1	1942	8	18.7	12.3	"---"	78.5	141.9	
21	1	1942	9	16.4	10.7	"---"	146.8	129.1	
22	1	1942	10	13.1	8.2	"---"	131.1	82.1	
23	1	1942	11	9.2	4.6	"---"	19.8	62.9	
24	1	1942	12	9.6	6.2	"---"	183.9	31.4	
25	1	1943	1	8.2	3.5	"---"	176.7	41.4	
26	1	1943	2	8.9	4.6	"---"	65.4	68.6	
27	1	1943	3	10.2	4.1	"---"	21	156.2	
28	1	1943	4	13	6.8	"---"	39.4	178.3	
29	1	1943	5	14.1	7.4	"---"	83.5	233.3	
30	1	1943	6	15.9	9.8	"---"	58.7	223.8	
31	1	1943	7	18.6	11.7	"---"	57.3	240.5	
32	1	1943	8	18.1	12	"---"	86.5	148	
33	1	1943	9	15.8	10	"---"	127.1	110.6	
34	1	1943	10	13.6	8.3	"---"	120.3	93.7	
35	1	1943	11	9.7	5.9	"---"	93	47.4	
36	1	1943	12	6.9	2.7	"---"	63.6	75.3	
37	1	1944	1	9.2	5.8	"---"	87.9	23.7	
38	1	1944	2	6.5	3.1	"---"	34	72.5	
39	1	1944	3	8.6	3.1	"---"	17	153.2	
40	1	1944	4	12.7	6.6	"---"	44.9	157.1	
41	1	1944	5	13.8	7	"---"	37.2	242.3	
42	1	1944	6	15.4	9.9	"---"	53.2	182.2	
43	1	1944	7	18.2	12.6	"---"	54.5	112.7	
44	1	1944	8	19.7	12.8	"---"	100.2	220.9	
45	1	1944	9	15.7	10.3	"---"	80.7	132.7	
46	1	1944	10	12.1	7.8	"---"	131.9	91	
47	1	1944	11	9.5	5.8	"---"	156.2	28.9	
48	1	1944	12	7.7	4.3	"---"	71.9	58.5	
49	1	1945	1	4.5	1.3	"---"	58.8	58.1	
50	1	1945	2	9.6	5.1	"---"	110.7	80.4	
